title,type,release_year,age_certification,runtime,genres,production_countries,seasons,_id,imdb_score,imdb_votes
Chhota Bheem In Dholakpur to Kathmandu,MOVIE,2012,G,70,['animation'],['XX'],null,42774,7.8,41
The Rise of Kirmada,MOVIE,2012,G,68,['animation'],['IN'],null,43070,8,53
Drunken to Love You,SHOW,2011,TV-14,46,"['comedy', 'drama', 'romance']",['TW'],1,61520,6.5,114
Chhota Bheem: Journey to Petra,MOVIE,2011,G,67,['animation'],['IN'],null,43194,,
Yours Fatefully,SHOW,2012,TV-14,44,"['drama', 'comedy', 'romance']",['SG'],1,31690,6.8,14
My Friend Pinto,MOVIE,2011,PG,115,"['comedy', 'drama', 'crime']",['IN'],null,12220,5.3,391
The Glamorous Imperial Concubine,SHOW,2011,TV-PG,47,"['drama', 'romance', 'history']",['CN'],1,72555,7,142
Outlander,SHOW,2014,TV-MA,60,"['scifi', 'drama', 'fantasy', 'romance']",['US'],6,6802,8.4,152435
Peaky Blinders,SHOW,2013,TV-MA,58,"['drama', 'crime', 'european']",['GB'],6,42560,8.8,485506
Attack on Titan,SHOW,2013,TV-MA,24,"['scifi', 'action', 'drama', 'fantasy', 'horror', 'animation']",['JP'],4,60140,9,325381
The Blacklist,SHOW,2013,TV-14,43,"['drama', 'crime', 'thriller']",['US'],9,41602,8,238138
Married at First Sight,SHOW,2014,TV-PG,64,"['reality', 'european']",['US'],14,68860,6.1,1975
Paddington,MOVIE,2014,PG,96,"['comedy', 'animation', 'family', 'fantasy', 'european']","['FR', 'GB', 'US']",null,9624,7.2,111092
The Flash,SHOW,2014,TV-14,42,"['scifi', 'drama', 'action']",['US'],8,7288,7.6,336888
Nightcrawler,MOVIE,2014,R,118,"['crime', 'thriller', 'drama']",['US'],null,72718,7.8,523686
Gotham,SHOW,2014,TV-14,43,"['scifi', 'action', 'crime', 'drama', 'thriller']",['US'],5,49900,7.8,226081
Are You The One?,SHOW,2014,TV-14,41,['reality'],['US'],8,84274,6.5,2450
Her,MOVIE,2013,R,126,"['drama', 'romance', 'scifi']",['US'],null,98709,8,586679
42,MOVIE,2013,PG-13,128,"['drama', 'sport']",['US'],null,53562,7.5,93314
The Imitation Game,MOVIE,2014,PG-13,113,"['thriller', 'drama', 'war']","['US', 'GB']",null,84970,8,748654
The Call,MOVIE,2013,R,94,"['crime', 'thriller', 'drama', 'horror', 'european']",['US'],null,11644,6.7,120475
The 100,SHOW,2014,TV-14,42,"['drama', 'action', 'scifi']",['US'],7,61044,7.6,242221
Big Eyes,MOVIE,2014,PG-13,106,"['drama', 'documentation', 'crime', 'romance']","['CA', 'US']",null,26590,7.2,51
